FID;nom_servic;no_cvq;rue;ville;cp;en_caserne;Y;X
107;Service de securité incendie Petite-Rivière-Saint-François; ;Rue Principale;Petite-Rivière-Saint-François;G0A2L0;0;-70.5682480350559;47.3019900687541
108;Service de securité incendie Baie-Saint-Paul; ;Rue Racine;Baie-Saint-Paul;G3Z2R1;0;-70.511322190415;47.442204217955
109;Service de securité incendie L'Isle-aux-Coudres; ;Chemin de La Baleine;L'Isle-aux-Coudres;G0A2A0;0;-70.3601217485041;47.3941514866022
110;Service de securité incendie Les Éboulements; ;Route du Fleuve;Les Éboulements;G0A2M0;0;-70.3104870187009;47.4820851541462
111;Service de securité incendie Saint-Hilarion; ;Chemin Cartier;Saint-Hilarion;G0A3V0;0;-70.4017459738887;47.5781450502454
112;Service de securité incendie Saint-Urbain; ;Rue du Moulin;Saint-Urbain;G0A4K0;0;-70.537258587578;47.5595284650035
113;Service de securité incendie Saint-Pamphile; ;Rue Principale;Saint-Pamphile;G0R3X0;0;-69.7849162571676;46.964425550121
114;Service de securité incendie Saint-Adalbert; ;Rue Principale;Saint-Adalbert;G0R2M0;0;-69.9004410278151;46.8619480402323
115;Service de securité incendie Saint-Adalbert; ;Rue Principale;Saint-Adalbert;G0R2M0;0;-69.8967605102105;46.8649665163735
116;Service de securité incendie Sainte-Félicité; ;Route de l'Église Sud;Sainte-Félicité;G0R4P0;0;-69.9468665240997;46.9644848570041
117;Service de securité incendie Sainte-Perpétue; ;Rue Principale Sud;Sainte-Perpétue;G0R3Z0;0;-69.9210273206972;47.0536891927336
118;Service de securité incendie Tourville; ;Rue Principale;Tourville;G0R4M0;0;-69.9862632019789;47.0962252381796
119;Service de securité incendie Saint-Cyrille-de-Lessard; ;Rue Principale;Saint-Cyrille-de-Lessard;G0R2W0;0;-70.2690451339643;47.0326598524189
120;Service de securité incendie L'Islet; ;Boulevard Nilus-Leclerc;L'Islet;G0R2C0;0;-70.3517197215521;47.103673710347
121;Service de securité incendie Saint-Just-de-Bretenières; ;Rue Principale;Saint-Just-de-Bretenières;G0R3H0;0;-70.088685636993;46.5710584331977
122;Service de securité incendie Saint-Fabien-de-Panet; ;Rue Bilodeau;Saint-Fabien-de-Panet;G0R2J0;0;-70.146835445455;46.6560883712484
123;Service de securité incendie Sainte-Lucie-de-Beauregard; ;Rue Principale;Sainte-Lucie-de-Beauregard;G0R3L0;0;-70.0246124358842;46.7374034138343
124;Service de securité incendie Sainte-Apolline-de-Patton; ;Route Principale;Sainte-Apolline-de-Patton;G0R2P0;0;-70.1970939353445;46.8063016022924
125;Service de securité incendie Saint-Paul-de-Montminy; ;Route 216;Saint-Paul-de-Montminy;G0R3Y0;0;-70.3574165023188;46.7281320356537
126;Service de securité incendie Sainte-Euphémie-sur-Rivière-du-Sud; ;Rue Principale Est;Sainte-Euphémie-sur-Rivière-du-Sud;G0R2Z0;0;-70.4355939263212;46.7769612267934
127;Service de securité incendie Notre-Dame-du-Rosaire; ;Rue Saint-Thomas;Notre-Dame-du-Rosaire;G0R2H0;0;-70.3895096751232;46.8259331001987
128;Service de securité incendie Montmagny; ;Rue des Entrepreneurs;Montmagny;G5V4T2;0;-70.5794621744185;46.9698038854423
129;Service de securité incendie Montmagny; ;Chemin Vincelotte;Cap-Saint-Ignace;G0R1H0;0;-70.4413836344834;47.0314749957021
130;Service de securité incendie Saint-François-de-la-Rivière-du-Sud; ;Chemin Saint-François Est;Saint-François-de-la-Rivière-du-Sud;G0R3A0;0;-70.6952291966359;46.899822899937
131;Service de securité incendie Berthier-sur-Mer; ;Rue Principale Est;Berthier-sur-Mer;G0R1E0;0;-70.731147085565;46.9270059829235
132;Service de securité incendie Saint-Philémon; ;Rue Principale;Saint-Philémon;G0R4A0;0;-70.4477673451066;46.6788534849815
133;Service de securité incendie Notre-Dame-Auxiliatrice-de-Buckland; ;Rue de la Fabrique;Notre-Dame-Auxiliatrice-de-Buckland;G0R1G0;0;-70.5426976382658;46.6196596198038
134;Service de securité incendie Saint-Nazaire-de-Dorchester;55;Rue Principale;Saint-Nazaire-de-Dorchester;G0R3T0;0;-70.6624389420161;46.5522302419428
135;Service de securité incendie Saint-Léon-de-Standon; ;Route de l'Église;Saint-Léon-de-Standon;G0R4L0;0;-70.6204141406942;46.4767571149753
136;Service de securité incendie Saint-Malachie; ;7e Rue;Saint-Malachie;G0R3N0;0;-70.765455093368;46.5319203272928
137;Service de securité incendie Saint-Malachie;696;Route Henderson;Saint-Malachie;G0R3N0;0;-70.7841371335638;46.5346554274805
138;Service de securité incendie Saint-Damien-de-Buckland; ;Route 279;Saint-Damien-de-Buckland;G0R2Y0;0;-70.6293666780217;46.6397559996701
139;Service de securité incendie Armagh; ;Rue Noël;Armagh;G0R1A0;0;-70.5816495494576;46.7427834819555
140;Service de securité incendie Saint-Nérée-de-Bellechasse; ;Route Principale;Saint-Nérée-de-Bellechasse;G0R3V0;0;-70.7253794088493;46.7283895994234
141;Service de securité incendie Saint-Lazare-de-Bellechasse; ;Route 279;Saint-Lazare-de-Bellechasse;G0R3J0;0;-70.8011475323502;46.6496439725561
142;Service de securité incendie Sainte-Claire; ;Rue de l'Église;Sainte-Claire;G0R2V0;0;-70.8617417926072;46.6045226462112
143;Service de securité incendie Saint-Anselme; ;Route Bégin;Saint-Anselme;G0R2N0;0;-70.9874281648062;46.6388021096152
144;Service de securité incendie Saint-Henri; ;Route Campagna;Saint-Henri;G0R3E0;0;-71.068551032009;46.6971463614224
145;Service de securité incendie Honfleur; ;Rue Saint-Jean;Honfleur;G0R1N0;0;-70.8799860530728;46.6563816347172
146;Service de securité incendie Saint-Gervais; ;Rue de la Fabrique Est;Saint-Gervais;G0R3C0;0;-70.8863489089788;46.7150180003708
147;Service de securité incendie Saint-Raphaël; ;Rue du Foyer;Saint-Raphaël;G0R4C0;0;-70.7499894076771;46.795227236069
148;Service de securité incendie La Durantaye; ;Rue du Piedmont;La Durantaye;G0R1W0;0;-70.8614527228803;46.8297948778653
149;Service de securité incendie Saint-Charles-de-Bellechasse; ;Avenue Commerciale;Saint-Charles-de-Bellechasse;G0R2T0;0;-70.9452763104268;46.7739917531903
150;Service de securité incendie Beaumont; ;Rue Saint-Étienne;Beaumont;G0R1C0;0;-71.012622068792;46.8278952204775
151;Service de securité incendie Saint-Michel-de-Bellechasse; ;Route 132 Est;Saint-Michel-de-Bellechasse;G0R3S0;0;-70.9083865435656;46.8722706507104
152;Service de securité incendie Saint-Vallier, Rosa, Constant; ;Route de Saint-Vallier;Saint-Vallier;G0R4J0;0;-70.810543804155;46.8984511102111
153;Service de securité incendie Sainte-Famille;3894;Chemin Royal;Sainte-Famille;G0A3P0;0;-70.9620168826817;46.9725782629148
154;Service de securité incendie Saint-Jean-de-l'Île-d'Orléans;2336;Chemin Royal;Saint-Jean-de-l'Île-d'Orléans;G0A3W0;0;-70.8875164371158;46.9253084894607
155;Service de securité incendie Saint-Laurent-de-l'Île-d'Orléans; ;Chemin Royal;Saint-Laurent-de-l'Île-d'Orléans;G0A3Z0;0;-70.9983676447533;46.8642466965077
156;Service de securité incendie Saint-Pierre-de-l'Île-d'Orléans;515;Route des Prêtres;Saint-Pierre-de-l'Île-d'Orléans;G0A4E0;0;-71.0700013414982;46.8884464873698
157;Service de securité incendie Saint-Ferréol-les-Neiges; ;Rue des Lupins;Saint-Ferréol-les-Neiges;G0A3R0;0;-70.8617326258943;47.1169036002692
158;Service de securité incendie Beaupré; ;Rue Leclerc;Saint-Tite-des-Caps;G0A4J0;0;-70.7703899640757;47.1415799758379
159;Service de securité incendie Beaupré; ;Rue Beauregard;Beaupré;G0A1E0;0;-70.8903941374574;47.046498771917
160;Service de securité incendie Sainte-Anne-de-Beaupré; ;Boulevard Sainte-Anne;Sainte-Anne-de-Beaupré;G0A3C0;0;-70.9205212014205;47.0262720281739
161;Service de securité incendie Château-Richer; ;Avenue Royale;Château-Richer;G0A1N0;0;-71.0174221898904;46.9697004677126
162;Service de securité incendie Boischatel/L'Ange-Gardien; ;Chemin des Mas;Boischatel;G0A1H0;0;-71.1368367821158;46.9006840380401
163;Service de securité incendie Boischatel/L'Ange-Gardien; ;Avenue Royale;L'Ange-Gardien;G0A2K0;0;-71.0899919864507;46.9177305677387
164;Service de securité incendie Boischatel/L'Ange-Gardien; ;Chemin des Mas;Boischatel;G0A1H0;0;-71.1368480375678;46.9006475612822
165;Service de securité incendie Sainte-Catherine-de-la-Jacques-Cartier; ;Route de Fossambault;Sainte-Catherine-de-la-Jacques-Cartier;G3N1S1;0;-71.6041563170196;46.8348877043671
166;Service de securité incendie Shannon; ;Chemin de Gosford;Shannon;G0A4N0;0;-71.5321036704809;46.8991824128004
167;Service de securité incendie Saint-Gabriel-de-Valcartier; ;Boulevard Valcartier;Saint-Gabriel-de-Valcartier;G0A4S0;0;-71.4649813126672;46.9331027518079
168;Service de securité incendie Stoneham-et-Tewkesbury; ;Route de Tewkesbury;Stoneham-et-Tewkesbury;G3C2L8;0;-71.4280554171388;47.0468278424419
169;Service de securité incendie Stoneham-et-Tewkesbury; ;Chemin de la Grande-Ligne;Stoneham-et-Tewkesbury;G3C0X7;0;-71.3750294376369;46.9805014365838
170;Service de securité incendie Stoneham-et-Tewkesbury; ;Chemin Saint-Edmond;Stoneham-et-Tewkesbury;G3C1G6;0;-71.3077154450859;47.0646589379693
171;Service de securité incendie Lac-Beauport; ;Chemin du Tour-du-Lac;Lac-Beauport;G3B0A1;0;-71.2855560583312;46.9462963552799
172;Service de securité incendie Sainte-Brigitte-de-Laval; ;Rue Auclair;Sainte-Brigitte-de-Laval;G0A3K0;0;-71.1948920729346;47.0036210441762
173;Service de securité incendie Lévis;364;Avenue Saint-Augustin;Lévis;G0S1E1;0;-71.2282277162884;46.6772586997118
174;Service de securité incendie Lévis;1;Place Chamberland;Lévis;G6J1M5;0;-71.2997286121277;46.6525802840041
175;Service de securité incendie Lévis; ;Boulevard Guillaume-Couture;Lévis;G6V9H4;0;-71.1597208660407;46.8101657216327
176;Service de securité incendie Lévis; ;3e Rue;Lévis;G6W5M6;0;-71.2300048012401;46.7480233652192
177;Service de securité incendie Lévis; ;Route du Président-Kennedy;Lévis;G6V9J5;0;-71.1524164065103;46.7794721783334
178;Service de securité incendie Frampton; ;Rue de l'Église;Frampton;G0R1M0;0;-70.8074268360823;46.4624698930452
179;Service de securité incendie Saint-Anges; ;Route des Érables;Saints-Anges;G0S3E0;0;-70.8863960753896;46.4105267196359
180;Service de securité incendie Vallée-Jonction; ;Chemin de l'Écore Nord;Vallée-Jonction;G0S3J0;0;-70.9312841479481;46.3731767483172
181;Service de securité incendie Saint-Elzéar; ;Rue des Érables;Saint-Elzéar;G0S2J1;0;-71.0650389356216;46.4061353509444
182;Service de securité incendie Sainte-Marie; ;Avenue Marguerite-Bourgeoys;Sainte-Marie;G6E3Z3;0;-71.0215964269799;46.4383481881677
183;Service de securité incendie Sainte-Marguerite; ;Rue de la Meunerie;Sainte-Marguerite;G0S2X0;0;-70.9373598785547;46.51287925062
184;Service de securité incendie Sainte-Hénédine; ;Rue Langevin;Sainte-Hénédine;G0S2R0;0;-70.9858896520057;46.5604359510439
185;Service de securité incendie Scott; ;Route Carrier;Scott;G0S3G0;0;-71.0762021803133;46.509182072665
186;Service de securité incendie Saint-Bernard; ;Rue Vaillancourt;Saint-Bernard;G0S2G0;0;-71.1363510053691;46.4978880079817
187;Service de securité incendie Saint-Isidore (Région 12); ;Rue Sainte-Geneviève;Saint-Isidore;G0S2S0;0;-71.0896259369725;46.5859451127971
188;Service de securité incendie Saint-Lambert-de-Lauzon; ;Rue du Pont;Saint-Lambert-de-Lauzon;G0S2W0;0;-71.2053433683369;46.5921995915263
189;Service de securité incendie Saint-Victor; ;Rue Marchand;Saint-Victor;G0M2B0;0;-70.90308886795;46.1464399117178
190;Service de securité incendie Beauceville; ;Boulevard Renault;Beauceville;G5X1M4;0;-70.7735324376764;46.205084992091
191;Service de securité incendie Saint-Odilon-de-Cranbourne; ;Rue de l'Hôtel-de-Ville;Saint-Odilon-de-Cranbourne;G0S3A0;0;-70.6768030251763;46.3570486924985
192;Service de securité incendie Saint-Joseph-de-Beauce; ;Rue Drouin;Saint-Joseph-de-Beauce;G0S2V0;0;-70.8761909840999;46.3057420901966
193;Régie intermunicipale du Service de securité incendie des municipalités de Tring-Jonction; ;Avenue Commerciale;Tring-Jonction;G0N1X0;0;-70.9942764422369;46.2710653635089
194;Service de securité incendie Saint-Zacharie; ;15e Avenue;Saint-Zacharie;G0M2C0;0;-70.3594654738013;46.1208050491255
195;Service de securité incendie Sainte-Aurélie; ;Rue des Saules;Sainte-Aurélie;G0M1M0;0;-70.3628197908014;46.1754014022232
196;Service de securité incendie Saint-Benjamin; ;Rue du Lac;Saint-Benjamin;G0M1N0;0;-70.5996256336265;46.2793985773084
197;Service de securité incendie Sainte-Rose-de-Watford; ;Rue Principale;Sainte-Rose-de-Watford;G0R4G0;0;-70.4284648474146;46.3205568572688
198;Service de securité incendie Saint-Louis-de-Gonzague; ;Rue de la Caserne;Saint-Louis-de-Gonzague;G0R2L0;0;-70.3269498406905;46.2662340570969
199;Service de securité incendie Lac-Etchemin/Saint-Luc-de-Bellechasse; ;Rue Industrielle;Lac-Etchemin;G0R1S0;0;-70.521383516997;46.4068153323787
200;Service de securité incendie Lac-Etchemin/Saint-Luc-de-Bellechasse; ;Rue Principale;Saint-Luc-de-Bellechasse;G0R1L0;0;-70.4788497571926;46.5066410918977
201;Service de securité incendie Saint-Théophile;489;Rue Principale;Saint-Théophile;G0M2A0;0;-70.4969186365412;45.9343772019586
202;Service de securité incendie Saint-Gédéon-de-Beauce; ;Boulevard Canam Sud;Saint-Gédéon-de-Beauce;G0M1T0;0;-70.6347559072669;45.8537853482965
203;Service de sécurité incendie La Haute-Beauce;483;9e Rue Est;La Guadeloupe;G0M1G0;0;-70.9368532548369;45.9616692307945
204;Service de sécurité incendie La Haute-Beauce;116;Avenue du Domaine;Courcelles;G0M1C0;0;-70.9829331752267;45.874149496466
205;Service de sécurité incendie La Haute-Beauce; ;Rue Principale;Saint-Évariste-de-Forsyth;G0M1S0;0;-70.9486996736605;45.9351164433296
206;Service de securité incendie Saint-Honoré-de-Shenley; ;Rue Principale;Saint-Honoré-de-Shenley;G0M1V0;0;-70.8236675753498;45.9610625959998
207;Service de securité incendie Saint-Martin; ;1re Avenue Est;Saint-Martin;G0M1B0;0;-70.6559828179159;45.9589813250694
208;Service de securité incendie Saint-Georges; ;Boulevard Lacroix;Saint-Georges;G5Y1L3;0;-70.6711525616354;46.1229402391426
209;Service de securité incendie Saint-Georges; ;Boulevard Dionne;Saint-Georges;G5Y3W1;0;-70.6787765927463;46.1161720490049
210;Service de securité incendie Saint-Georges; ;95e Rue;Saint-Georges;G5Y8J3;0;-70.6769194505893;46.1382836710333
211;Service de securité incendie Saint-Georges; ;Rue de la Sapinière;Saint-Georges;G5Z0K2;0;-70.7105436278692;46.0441454550106
212;Service de securité incendie Saint-Benoît-Labre; ;Rue du Parc;Saint-Benoît-Labre;G0M1P0;0;-70.7883171388782;46.0711501587497
213;Service de securité incendie Saint-Éphrem-de-Beauce; ;Route 271 Nord;Saint-Éphrem-de-Beauce;G0M1R0;0;-70.9548385947677;46.0587987443836
214;Service de securité incendie Saint-Augustin-de-Woburn;629;Rue Saint-Augustin;Saint-Augustin-de-Woburn;G0Y1R0;0;-70.8601356189418;45.3840802503777
215;Service de securité incendie Notre-Dame-des-Bois;43;Route de l'Église;Notre-Dame-des-Bois;J0B2E0;0;-71.0740592480507;45.391932127626
216;Service de securité incendie Lac-Mégantic;3567;Boulevard Stearns;Lac-Mégantic;G6B2G8;0;-70.8829424866591;45.5743220687792
217;Service de sécurité incendie Nantes;6265;Rue Notre-Dame;Nantes;G0Y1G0;0;-71.0208027628262;45.6314246528096
218;Service de securité incendie Sainte-Cécile-de-Whitton;1688;Route 263;Sainte-Cécile-de-Whitton;G0Y1J0;0;-70.9413779730079;45.6680038793612
219;Service de securité incendie Audet;288;Chemin Grenier;Audet;G0Y1A0;0;-70.7323137883807;45.6591264614557
220;Service de sécurité incendie Saint-Robert-Bellarmin;505;Rue Principale;Saint-Robert-Bellarmin;G0M2E0;0;-70.5837920090053;45.7482207921999
221;Service de securité incendie Saint-Ludger;411;Route 204;Saint-Ludger;G0M1W0;0;-70.6867217384898;45.7418733930332
222;Service de securité incendie Lac-Drolet;773;Rue Principale;Lac-Drolet;G0Y1C0;0;-70.8567721156582;45.7220549348702
223;Service de securité incendie Saint-Sébastien; ;Rue Principale;Saint-Sébastien;G0Y1M0;0;-70.978576555812;45.7866402098681
224;Service de securité incendie Lambton;230;Rue du Collège;Lambton;G0M1H0;0;-71.0929210130588;45.8383150696487
225;Service de securité incendie Saint-Romain;125;Rue du Couvent;Saint-Romain;G0Y1L0;0;-71.0904428930025;45.7847737987315
226;Service de securité incendie Stratford;117;Avenue Centrale Nord;Stratford;G0Y1P0;0;-71.2813368894936;45.781035248231
227;Service de securité incendie Beaulac-Garthby;5;Rue Saint-François;Beaulac-Garthby;G0Y1B0;0;-71.3779543406135;45.8372619286059
228;Service de securité incendie Ville de Disraeli;550;Avenue Jacques-Cartier;Disraeli;G0N1E0;0;-71.3578393389655;45.9029428997789
229;Service de securité incendie Saint-Joseph-de-Coleraine;88;Avenue Saint-Patrick;Saint-Joseph-de-Coleraine;G0N1B0;0;-71.3731185459843;45.9642930780934
230;Service de securité incendie Adstock;32;Rue Principale Est;Adstock;G0N1S0;0;-71.0751357167702;46.0457665805199
231;Service de securité incendie Sainte-Clotilde-de-Beauce;201;Rue Turcotte;Sainte-Clotilde-de-Beauce;G0N1C0;0;-71.0300546106744;46.1234726045374
232;Service de securité incendie Thetford Mines;5726;boulevard Frontenac Est;Thetford Mines;H2G2R3;0;-71.216664626854;46.1400697400523
233;Service de securité incendie Thetford Mines;146;Rue Caouette Ouest;Thetford Mines;G6G7M7;0;-71.3057093104526;46.0929009264916
234;Service de securité incendie Thetford Mines;4424;Rue du Centre;Thetford Mines;G6H2K8;0;-71.3606298826961;46.0392396466117
235;Service de securité incendie East Broughton;120;11e Avenue Sud;East Broughton;G0N1H0;0;-71.0764590915851;46.2267267814283
236;Service de securité incendie regroupé Saint-Jacques-de-Leeds;150;Rue Principale;Saint-Jacques-de-Leeds;G0N1J0;0;-71.3339898652148;46.2932388630025
237;Service de securité incendie regroupé Saint-Jacques-de-Leeds;73;Rue Saint-Pierre;Saint-Pierre-de-Broughton;G0N1T0;0;-71.2048847445397;46.2420118492529
238;Service de securité incendie Princeville; ;Rue Demers Est;Princeville;N.D.;0;-71.8779748536508;46.177011984875
239;Service de securité incendie Plessisville; ;Avenue Saint-Édouard;Plessisville;N.D.;0;-71.7667559542352;46.2141783753622
240;Service de securité incendie Saint-Sylvestre; ;Route du Moulin;Saint-Sylvestre;G0S3C0;0;-71.2277611362718;46.3649608007527
241;Service de securité incendie Sainte-Agathe-de-Lotbinière; ;Rue Saint-Pierre;Sainte-Agathe-de-Lotbinière;G0S2A0;0;-71.4077344335804;46.3822125847892
242;Service de securité incendie Saint-Patrice-de-Beaurivage; ;Rue du Manoir;Saint-Patrice-de-Beaurivage;G0S1B0;0;-71.2393295503972;46.410406361326
243;Service de securité incendie Saint-Narcisse-de-Beaurivage; ;Rang Saint-Joseph;Saint-Narcisse-de-Beaurivage;G0S1W0;0;-71.2348141369614;46.4859363524357
244;Service de securité incendie Saint-Gilles; ;Rue O'Hurley;Saint-Gilles;G0S2P0;0;-71.3626137777003;46.5071312602535
245;Service de securité incendie Dosquet; ;Route Saint-Joseph;Dosquet;G0S1H0;0;-71.5263994341374;46.4656278023395
246;Service de securité incendie Saint-Agapit; ;Rue Principale;Saint-Agapit;G0S1Z0;0;-71.4438999158796;46.5580920390554
247;Service de securité incendie Laurier-Station; ;Rue de la Station;Laurier-Station;G0S1N0;0;-71.6288757735854;46.5403229023313
248;Service de securité incendie Saint-Janvier-de-Joly; ;Rue de l'École;Saint-Janvier-de-Joly;G0S1M0;0;-71.6655593265736;46.4859559592728
249;Service de securité incendie Val-Alain; ;2e Rang;Val-Alain;G0S3H0;0;-71.7525477906475;46.4120325631672
250;Service de securité incendie Saint-Édouard-de-Lotbinière; ;Rue Principale;Saint-Édouard-de-Lotbinière;G0S1Y0;0;-71.8375501652004;46.5691711244615
251;Service de securité incendie Saint-Apollinaire; ;Rue de l'Église;Saint-Apollinaire;G0S2E0;0;-71.5072923793531;46.6130289260832
252;Service de securité incendie Saint-Antoine-de-Tilly; ;Chemin de Tilly;Saint-Antoine-de-Tilly;G0S2C0;0;-71.5786906677972;46.6634704254573
253;Service de securité incendie Sainte-Croix; ;Rue Lafleur;Sainte-Croix;G0S2H0;0;-71.7332909069465;46.6247219309416
254;Service de securité incendie Lotbinière/Leclercville; ;Rue Saint-Jean-Baptiste;Leclercville;G0S2K0;0;-71.9984416157345;46.5688174653276
255;Service de securité incendie Lotbinière/Leclercville; ;Route Commerciale;Lotbinière;G0S1S0;0;-71.9300250134336;46.6163484158809
256;Service de securité incendie Neuville; ;Rue du Père-Rhéaume;Neuville;G0A2R0;0;-71.5890199217316;46.6975097673107
257;Service de securité incendie Pont-Rouge; ;Boulevard Notre-Dame;Pont-Rouge;G3H3K8;0;-71.7041802933088;46.7596187720218
258;Service de securité incendie Donnacona; ;Rue Notre-Dame;Donnacona;G3M1J6;0;-71.7220679343687;46.6743452027558
259;Service de securité incendie Cap-Santé; ;Route 138;Cap-Santé;G0A1L0;0;-71.7704757325703;46.6703060059385
260;Service de securité incendie Saint-Basile; ;Rue Saint-Georges;Saint-Basile;G0A3G0;0;-71.8261695082244;46.7559452942209
261;Service de securité incendie Portneuf; ;Rue Paquin;Portneuf;G0A2Y0;0;-71.8864954944198;46.6956835010108
262;Service de securité incendie Portneuf;730;Rue Saint-Charles;Portneuf;G0A2Y0;0;-71.8839784333677;46.7088657368827
263;Service de securité incendie Deschambault-Grondines; ;Chemin du Roy (Deschambault);Deschambault-Grondines;G0A1S0;0;-71.9312468787229;46.6480180003846
264;Service de securité incendie Deschambault-Grondines; ;Chemin des Ancêtres;Deschambault-Grondines;G0A1W0;0;-72.0314332104249;46.5924103863728
265;Service de securité incendie Saint-Marc-des-Carrières; ;Rue Gauthier;Saint-Marc-des-Carrières;G0A4B0;0;-72.0493340382341;46.6801186420648
266;Service de securité incendie Saint-Casimir; ;Rue Baribeau;Saint-Casimir;G0A3L0;0;-72.1394444205158;46.6574297704249
267;Service de securité incendie Saint-Thuribe; ;Rue Principale;Saint-Thuribe;G0A4H0;0;-72.1633092352533;46.7078091342145
268;Service de securité incendie Saint-Ubalde; ;Rue Saint-Paul;Saint-Ubalde;G0A4L0;0;-72.2729091482852;46.757343992397
269;Service de securité incendie Saint-Alban; ;Rue Saint-Eugène;Saint-Alban;G0A3B0;0;-72.0779534626677;46.7205309266769
270;Service de securité incendie Saint-Raymond; ;Grande Ligne;Saint-Raymond;G3L2Y4;0;-71.8188167416444;46.9008443891266
271;Service de securité incendie Rivière-à-Pierre; ;Rue Principale;Rivière-à-Pierre;G0A3A0;0;-72.1759112093098;46.9972907563625
272;Régie intermunicipale du Centre Mékinac;141;Rue Baillargeon;Saint-Adelphe;G0X2G0;0;-72.4318970773496;46.7345721799072
273;Régie intermunicipale du Centre Mékinac;21;Rue Saint-François;Saint-Séverin;G0X2B0;0;-72.5032333898482;46.6675737814584
274;Régie intermunicipale du Centre Mékinac;540;Rue Notre-Dame;Saint-Tite;G0X3H0;0;-72.5646189556701;46.7270548473012
275;Régie intermunicipale du Centre Mékinac;1060;Rang Saint-Pierre Sud;Hérouxville;G0X1J0;0;-72.6140961009105;46.6736174088747
276;Service de securité incendie Shawinigan; ;105e Avenue;Shawinigan;G9T3H3;0;-72.6589677299018;46.6257506030165
277;Service de securité incendie Shawinigan; ;Avenue Jean-Duchesne;Shawinigan;G9N6T5;0;-72.7171991638932;46.5025195717008
278;Service de securité incendie Shawinigan; ;7e Avenue (Grand-Mère);Shawinigan;G9T2B7;0;-72.6951870727768;46.6135973499836
279;Service de securité incendie Shawinigan; ;Avenue Champlain;Shawinigan;G9N2L3;0;-72.7434355766006;46.5545215556274
280;Service de securité incendie Trois-Rivières; ;Boulevard des Chenaux;Trois-Rivières;G8Y3Y2;0;-72.6097762380762;46.3573595803582
281;Service de securité incendie Trois-Rivières; ;Rue Oscar-Masson;Trois-Rivières;G8T1G6;0;-72.5940635410129;46.4218573194891
282;Service de securité incendie Trois-Rivières; ;Chemin Sainte-Marguerite;Trois-Rivières;G9B6N6;0;-72.6746318744421;46.2886714523247
283;Service de securité incendie Trois-Rivières; ;Rue Laviolette;Trois-Rivières;G9A1W1;0;-72.5482466329323;46.3505041451804
284;Service de securité incendie Trois-Rivières; ;Rue Rochefort;Trois-Rivières;G8T7K1;0;-72.5298487329802;46.3696562356173
285;Service de securité incendie Trois-Rivières; ;Boulevard Jean-XXIII;Trois-Rivières;G9A5C9;0;-72.6011205663549;46.3225720736441
286;Service de securité incendie Sainte-Anne-de-la-Pérade; ;Rue Principale;Sainte-Anne-de-la-Pérade;G0X2J0;0;-72.2111924505378;46.5688358287491
287;Service de securité incendie Batiscan; ;Rue Principale;Batiscan;G0X1A0;0;-72.2567593327017;46.4883355425049
288;Service de securité incendie Sainte-Geneviève-de-Batiscan; ;Rue Saint-Charles;Sainte-Geneviève-de-Batiscan;G0X2R0;0;-72.3394760326535;46.5320794710313
289;Service de securité incendie Champlain; ;Rue Notre-Dame;Champlain;G0X1C0;0;-72.3545966559668;46.4373060212868
290;Service de securité incendie Saint-Maurice; ;Rue Notre-Dame;Saint-Maurice;G0X2X0;0;-72.5412202643294;46.4746215686577
291;Service de securité incendie Notre-Dame-du-Mont-Carmel; ;Rang Saint-Flavien;Notre-Dame-du-Mont-Carmel;G0X3J0;0;-72.6752280814351;46.4710984243378
292;Service de securité incendie Saint-Narcisse; ;Rue Notre-Dame;Saint-Narcisse;G0X2Y0;0;-72.4732801924148;46.5634503104557
293;Service de securité incendie Saint-Stanislas; ;Rue Principale;Saint-Stanislas;G0X3E0;0;-72.3855277890631;46.6138548077688
294;Service de securité incendie Bécancour; ;Boulevard Bécancour;Bécancour;G9H2K3;0;-72.5027557364444;46.3382597342636
295;Service de securité incendie Bécancour; ;Boulevard Bécancour;Bécancour;G9H3W2;0;-72.2803893331288;46.4001567840131
296;Service de securité incendie Bécancour; ;Boulevard du Parc-Industriel;Bécancour;G9H3N6;0;-72.2805264415241;46.304629684461
297;Service de securité incendie Bécancour; ;Boulevard de Port-Royal;Bécancour;G9H1Z2;0;-72.5115457945259;46.2728632576949
298;Service de securité incendie Bécancour; ;Chemin du Saint-Laurent;Bécancour;G9H3G2;0;-72.4037705680425;46.2905264016878
299;Service de securité incendie Bécancour; ;Boulevard Bécancour;Bécancour;G9H4V1;0;-72.4322900772795;46.34942882007
300;Service de securité incendie Tingwick; ;Rue de l'Hôtel-de-Ville;Tingwick;J0A1L0;0;-71.9426912728422;45.8789766556376
301;Service de securité incendie Chesterville; ;Rue de l'Accueil;Chesterville;G0P1J0;0;-71.8141655974537;45.9661838034654
302;Service de securité incendie Victoriaville; ;Boulevard des Bois-Francs Sud;Victoriaville;G6P4S5;0;-71.947164988225;46.0562609469794
303;Service de securité incendie Warwick; ;Rue Saint-Louis;Warwick;J0A1M0;0;-71.9863777109826;45.9480431365266
304;Service de securité incendie Kingsey Falls; ;Boulevard Kingsey;Kingsey Falls;J0A1B0;0;-72.0613684966451;45.8553025657932
305;Régie intermunicipale d'incendie Incentraide; ;Rue Principale;Saint-Louis-de-Blandford;G0Z1B0;0;-72.0023262118021;46.2493196916947
